"Relative Viscosity(Volume fraction), created by Plot Digitizer, 2.6.11",
"Date: 10/1/24, 2:15:31 AM",
,
,
17,
Volume fraction,Relative Viscosity
6.30E-04,1.004
3.10E-03,1.006
6.50E-03,1.018
9.30E-03,1.024
1.30E-02,1.032
0.016,1.045
0.019,1.049
0.032,1.082
0.0483,1.137
0.0655,1.188
0.082,1.28
0.092,1.3
0.108,1.401
0.126,1.49
0.126,1.48
0.142,1.6
0.191,2
0.251,2.5
0.316,3.77
0.38,5.98
0.409,7.76
0.443,10.35
0.496,22
0.506,26
0.525,36
0.53,40
0.56,84
0.59,175
