"Relative Viscosity(Volume fraction), created by Plot Digitizer, 2.6.11",
"Date: 10/1/24, 2:16:59 AM",
,
,
20,
Volume fraction,Relative Viscosity
0.0085,1.02
0.015,1.036
0.018,1.048
0.02,1.047
0.022,1.043
0.025,1.074
0.025,1.071
0.028,1.073
0.031,1.091
0.032,1.077
0.037,1.082
0.044,1.118
0.056,1.156
0.062,1.157
0.074,1.22
0.077,1.21
0.088,1.26
0.114,1.39
0.14,1.5
0.189,1.96
0.221,1.99
0.277,2.85
0.419,9
0.423,9.7
0.47,17.1
0.475,19.2
0.488,26
0.538,62
0.556,73
