"G' (Pa)(W (rad/s)), created by Plot Digitizer, 2.6.11"
"Date: 8/6/24, 5:00:58 PM"


26
W (rad/s),G' (Pa)
0.100741,72041.4,
0.125449,84619.9,
0.157519,105102,
0.202897,124326,
0.250513,150165,
0.314613,175160,
0.401817,210106,
0.513279,238341,
0.639132,285878,
0.789257,326545,
1.01667,380919,
1.27688,435120,
1.57661,518265,
1.99704,583815,
2.48706,666875,
3.14995,777892,
4.05764,901112,
5.05359,1.00799e+06,
6.34665,1.17578e+06,
7.83741,1.34303e+06,
10.2684,1534262,
12.7880,1.75254e+06,
15.9262,1.98796e+06,
20.0034,2239356,
25.3365,2.55804e+06,
31.8246,2.82184e+06,
