"G''(Angular frequency), created by Plot Digitizer, 2.6.11",,,
"Date: 9/11/24, 4:42:05 AM",,,
,,,
,,,
134,,,
Angular frequency,G'',,
0.108742,6198.13,-2.218777175,8.732002913
0.123308,6681.09,-2.093069989,8.807036427
0.136927,7477,-1.988307342,8.919586921
0.158556,8687.61,-1.841647436,9.069653152
0.183602,9906.65,-1.694984908,9.200961528
0.212604,11086.8,-1.548323999,9.31351049
0.241082,11950.7,-1.422618154,9.388545133
0.273376,12881.9,-1.296907142,9.463578504
0.285075,14148.6,-1.255002975,9.557370958
0.316559,15251,-1.150245641,9.632400354
0.358963,17067.9,-1.02453596,9.744954785
0.390343,18397.8,-0.940729439,9.819986371
0.433454,19831.4,-0.835969601,9.895021819
0.491516,20979.4,-0.710260787,9.951296283
0.523402,22193.8,-0.647405468,10.00756825
0.618912,24837.7,-0.479792181,10.12011794
0.673016,26275.6,-0.395986175,10.17639603
0.763169,27280.1,-0.270275778,10.21391278
0.812677,29962.5,-0.207421542,10.30770188
0.88372,31697,-0.123615009,10.36397732
0.98132,32908.8,-0.018856675,10.40149538
1.13633,36144.7,0.127803771,10.49528561
1.23567,34813.8,0.211613333,10.45776914
1.37214,39698.9,0.316371565,10.58907876
1.52368,40450.6,,
1.72778,43602.5,,
1.9186,43602.5,,
2.08632,47890,,
2.36579,47890,,
2.62707,48796.8,,
2.7975,50662.2,,
3.17223,53595,,
3.7511,55643.9,,
3.99444,58865,,
4.25357,58865,,
4.72334,61115.4,,
5.35605,63451.8,,
6.07351,68396,,
6.88707,72355.3,,
7.48913,72355.3,,
8.49232,76543.9,,
9.23471,77993.3,,
10.6934,84070.5,,
11.6282,85662.4,,
12.6448,95867.2,,
14.6422,99532.1,,
16.6035,107288,,
20.049,122342,,
21.8017,124659,,
24.2095,129424,,
28.0337,134372,,
33.1492,153227,,
36.8103,171481,,
42.6249,195543,,
50.403,218838,,
60.8624,244907,,
71.9686,259085,,
79.9169,289949,,
100.631,301034,,
114.11,343275,,
132.135,363146,,
156.247,406407,,
196.745,454822,,
237.573,509004,,
286.872,602616,,
332.187,674405,,
392.805,769037,,
464.483,893553,,
560.87,1000000,,
677.26,1.04E+06,,
852.798,1.18E+06,,
1029.77,1.40E+06,,
1269.79,1.63E+06,,
1533.29,1.89E+06,,
1775.49,2157805,,
2283.01,2.55E+06,,
2874.74,2.86E+06,,
3471.29,3.38E+06,,
4019.63,4.08E+06,,
4853.76,4.74E+06,,
5985.08,5512444,,
7536.35,6.53E+06,,
9489.69,7.58E+06,,
11701.6,8810695,,
14429,10237250,,
18168.8,11673734,,
23362.4,14620743,,
28807.7,16672316,,
32666.6,19371758,,
40280.6,22934474,,
47630.9,25189642,,
62542.9,29822342,,
75521.6,33375024,,
95095.9,38058184,,
112449,40261316,,
132969,46780096,,
150780,53344244,,
182069,58589632,,
215293,65569308,,
254580,73380464,,
313917,79098272,,
395281,85261616,,
467412,93645464,,
552705,100942328,,
725742,112967408,,
876345,121769832,,
1.06E+06,128818912,,
1304847,133743568,,
1.61E+06,138856496,,
1.98E+06,144164880,,
2.50E+06,149676208,,
3.02E+06,155398208,,
3.49E+06,164394000,,
4.31E+06,167506848,,
5201224,167506848,,
6150338,167506848,,
7.74E+06,170678656,,
9958184,173910528,,
12024660,173910528,,
14218908,173910528,,
16464954,173910528,,
20302630,177203584,,
21619710,177203584,,
24515736,173910528,,
26106130,173910528,,
29603126,173910528,,
35746228,170678656,,
43164116,167506848,,
51040660,161338976,,
61632376,152510368,,
86177880,144164880,,
115553832,131258152,,
148584848,124075592,,
187096432,110868080,,
