"G' (Pa)(W (rad/s)), created by Plot Digitizer, 2.6.11"
"Date: 8/6/24, 4:45:58 PM"


74
W (rad/s),G' (Pa)
0.110929,116.781,
0.136507,174.836,
0.173893,278.516,
0.229298,457.658,
0.263374,685.235,
0.359413,1025.74,
0.442334,1634.09,
0.544217,2160.59,
0.693192,3234.52,
0.824087,4694.59,
1.04940,6017.03,
1.29131,8732.72,
1.64471,12673.5,
2.09494,18973.0,
2.76143,25083.6,
3.89894,29284.8,
4.96496,37534.1,
6.32245,48107.3,
7.77750,57947.4,
10.2497,67659.0,
13.0508,81494.6,
17.8006,89416.8,
23.4600,107697,
33.1239,125734,
43.6439,129653,
68.3461,166129,
96.4698,160973,
140.985,187925,
199.061,219400,
271.494,233365,
383.330,272451,
600.200,318038,
790.862,338298,
1155.92,420254,
1523.35,490686,
1939.66,591026,
2834.85,711753,
4142.97,830923,
5850.18,1.03227e+06,
7447.77,1132725,
9815.70,1.36429e+06,
12498.8,1695122,
15912.9,1.91877e+06,
19577.1,2.45939e+06,
26703.4,2.78361e+06,
32847.3,3.25043e+06,
44811.2,4.03826e+06,
59058.3,4.86381e+06,
83399,6.23305e+06,
106196,7.74452e+06,
139981,10238806,
184486,12331960,
251669,14852333,
288979,18456484,
355485,22231674,
437364,29394598,
617685,40084160,
759721,43986944,
967440,56377816,
1.23195e+06,72259120,
1.62405e+06,101655080,
2.06788e+06,122442464,
2.29352e+06,134382784,
2.82106e+06,152119664,
3352367,172205616,
4268509,207419840,
6238511,249788528,
8509876,291638144,
10109996,282652384,
12870884,310158336,
15831358,351095424,
18812024,385297664,
20156746,409956160,
28458390,463979040,
