"G''(Angular frequency), created by Plot Digitizer, 2.6.11"
"Date: 9/11/24, 4:15:11 AM"


107
Angular frequency,G''
0.325636,6514.02,
0.392697,7705.65,
0.444940,8303.48,
0.493691,9461.98,
0.536486,10781.8,
0.633667,12287.1,
0.703161,13240.0,
0.780180,15371.1,
0.830378,16873.9,
0.883889,17516.2,
0.980826,18874.7,
1.13460,21509.3,
1.25900,23613.4,
1.39699,26411.1,
1.58294,27418.8,
1.75648,30101.1,
1.99010,33046.6,
2.25464,37658.4,
2.66330,40582.3,
3.01762,43730.9,
3.14594,44556.1,
3.71615,48015.6,
4.29947,49849.0,
4.77144,50794.0,
5.29506,52730.5,
6.00006,53731.6,
6.65851,55780.1,
7.86614,56842.3,
8.91291,60121.3,
10.3123,61264.4,
12.1822,63605.5,
15.3195,66041.7,
18.8675,68569.2,
22.2873,73893.2,
26.3303,73909.8,
31.7617,73928.5,
36.7438,81165.1,
42.5154,79682.1,
53.4679,79706.7,
60.5887,79720.1,
73.0662,94303.5,
86.3180,96099.2,
104.107,105512,
110.830,101660,
136.473,118040,
148.335,118053,
178.894,134539,
215.756,150496,
229.631,168317,
265.684,171517,
320.448,184839,
402.949,199208,
475.986,214675,
550.613,244640,
637.021,258760,
752.437,289442,
907.506,317792,
1094.43,368985,
1292.80,397635,
1526.98,453151,
1803.70,497523,
2175.56,526267,
2516.57,611008,
3098.83,709454,
3660.74,736565,
4234.56,855169,
5214.47,974619,
6159.42,1070052,
7275.38,1.19693e+06,
8593.00,1.38970e+06,
9734.96,1.61343e+06,
11498.7,1.80474e+06,
14456.9,2.13501e+06,
17075.1,2478864,
20594.1,2.72167e+06,
23820.7,3279930,
29330.3,3.95304e+06,
36117.5,4.50520e+06,
42657.3,5.32920e+06,
55904.7,6.92058e+06,
70291.1,7887473,
86557.0,8989199,
108818,11038094,
125887,12118580,
148685,14070349,
179311,16336922,
207424,18617302,
244990,21615730,
277548,25095660,
356274,30816544,
447901,37840512,
551531,43937424,
722972,50078848,
836323,57069076,
1.05147e+06,67512632,
1.21637e+06,75515680,
1.43675e+06,84469792,
1.59432e+06,91020704,
1.88330e+06,98087936,
2.27135e+06,109721592,
2627467,125037016,
3.16926e+06,129818728,
3.66650e+06,139894480,
4806209,159448448,
5445782,168646320,
6433056,178384800,
7.44237e+06,192229952,
