"G' (Pa)(W (rad/s)), created by Plot Digitizer, 2.6.11"
"Date: 8/6/24, 4:40:47 PM"


73
W (rad/s),G' (Pa)
0.337212,690.646,
0.387468,943.234,
0.445212,1248.67,
0.548359,1602.28,
0.652348,2121.12,
0.831879,2807.97,
0.989635,4210.81,
1.21891,6314.49,
1.55437,9469.16,
1.84913,12535.4,
2.52764,18221.1,
3.33717,23381.2,
3.97003,30002.5,
5.24152,36172.3,
6.68402,47885.4,
8.52351,63391.4,
10.1399,67468.8,
12.0628,74081.9,
14.8575,89316.3,
20.3092,95061.2,
27.7612,104379,
35.4013,121982,
46.7394,133938,
55.6030,147066,
68.4850,161481,
87.3326,177309,
103.894,188714,
142.016,200852,
208.090,220539,
265.357,234724,
375.544,249822,
495.820,282994,
654.618,291953,
894.818,330719,
1102.13,363135,
1357.47,374631,
1614.90,437810,
2059.33,480723,
2626.07,495943,
3589.66,561794,
5259.75,677322,
6257.20,767257,
7979.23,869133,
10907.1,1.04786e+06,
15436.1,1224578,
19684.2,1.57137e+06,
26906.9,1.72539e+06,
38079.7,2.14606e+06,
46902.0,2.28409e+06,
59809.8,2587376,
78965.2,3.42521e+06,
93940.0,4.00285e+06,
124026,4825998,
152761,5299029,
181730,6590994,
239933,7702520,
285434,9580485,
376850,11550632,
464159,13498566,
612816,17869610,
729030,20883196,
781468,25177652,
996533,30355228,
1.14505e+06,33330562,
1.51178e+06,45520436,
1.79846e+06,54881340,
2374464,66167232,
2.82475e+06,82299584,
3.47919e+06,93227312,
4285247,108949448,
5.27805e+06,131354008,
6500868,179393664,
7.73368e+06,203213536,
