"G' (Pa)(W (rad/s)), created by Plot Digitizer, 2.6.11"
"Date: 8/6/24, 4:57:59 PM"


56
W (rad/s),G' (Pa)
0.0590590,21035.6,
0.0765556,24346.2,
0.0953625,28938.9,
0.118779,33051.7,
0.153982,39811.6,
0.191804,46696.3,
0.243712,53331.7,
0.297591,63393.7,
0.385777,75349.7,
0.490252,91978.4,
0.610689,109330,
0.791587,124863,
0.966448,138865,
1.20387,165061,
1.56052,191038,
1.90524,212461,
2.37301,239447,
2.95580,277141,
3.53731,300129,
4.49424,329360,
5.48717,371202,
6.83437,418351,
8.68349,465247,
10.3921,510588,
12.6877,567845,
14.0200,614992,
17.8128,674888,
22.6336,770788,
29.3347,834658,
36.5390,966051,
44.6143,1.11815e+06,
61.3942,1.27694e+06,
76.4676,1439133,
95.2391,1.60049e+06,
118.619,1.77993e+06,
150.734,2.11566e+06,
199.313,2384254,
243.362,2.75964e+06,
291.256,3.06916e+06,
362.786,3552317,
460.968,4.05709e+06,
609.530,4572154,
715.088,5.08507e+06,
890.681,5.80775e+06,
1201.55,6.81156e+06,
1466.97,7575404,
1827.46,9247381,
2368.51,10013645,
3195.18,11744401,
4141.90,13774829,
5056.84,15319526,
5932.57,17038098,
7099.90,18698564,
8668.77,21356396,
11461.9,23435456,
13994.6,26766596,
