"G''(Angular frequency), created by Plot Digitizer, 2.6.11",,,
"Date: 9/11/24, 5:53:45 AM",,,
,,,
,,,
55,,,
Angular frequency,G'',,
0.0608891,35668.2,-2.798701102,10.48201481
0.0773525,42824,-2.559382382,10.66485397
0.0982522,49407.4,-2.320217637,10.80785549
0.123319,57004,-2.092980785,10.95087672
0.156638,65767.3,-1.853817868,11.09387803
0.191952,74682.9,-1.650509938,11.22100643
0.243808,85480.2,-1.411374249,11.35604005
0.306009,98623.2,-1.184140766,11.49906181
0.379501,111990,-0.968898047,11.62616486
0.493678,129202,-0.705871796,11.76913235
0.61955,144391,-0.478761871,11.88028018
0.750249,165280,-0.287350128,12.01539628
0.987652,189164,-0.01242487,12.15036964
1.25419,204768,0.226489946,12.22963291
1.55521,225228,0.441610585,12.3248685
1.86067,247748,0.620936638,12.42016738
2.42017,276858,0.883837786,12.53126002
2.96545,304528,1.087028792,12.62651832
3.76621,340322,1.326069191,12.73764751
4.67042,380340,1.541249003,12.84882087
5.86177,435337,1.768451606,12.98387572
7.26887,482666,1.983600846,13.08708018
9.23254,552448,2.2227342,13.22211459
11.5873,627314,2.449909671,13.34920249
15.2524,701006,2.724736868,13.46027173
18.9143,783435,2.93991825,13.57144338
24.021,868574,3.178928448,13.67460807
29.0912,1.02E+06,3.370435723,13.83362549
36.9489,1.16E+06,3.609535877,13.96069257
46.3755,1.33E+06,3.836771303,14.10371499
59.6107,1526866,4.087835088,14.23872783
73.9292,1.75E+06,4.303107878,14.37380547
95.0339,2.03E+06,4.55423367,14.52475252
119.272,2.31E+06,4.781406599,14.65183991
149.678,2.56E+06,5.00848632,14.7550216
187.87,2.98E+06,5.235750234,14.90601339
238.63,3433233,5.474914235,15.04901294
306.734,3.93E+06,5.725980922,15.18402529
384.941,4391486,5.953090076,15.29517822
488.947,5066594,6.192254099,15.43817935
613.652,5.75E+06,6.419427992,15.56526678
761.027,6532981,6.634668837,15.69237391
955.095,7359433,6.861810812,15.81149345
1170.5,8491333,7.065186287,15.95455655
1504.64,9874879,7.316308946,16.10550462
1887.93,10520665,7.54323627,16.16885198
2426.95,12332732,7.794390604,16.32776742
3082.3,13782344,8.033431351,16.43889891
3776.64,15039489,8.236590004,16.5261899
4739.86,17077576,8.463762878,16.65327682
6165.89,19702120,8.726787769,16.7962368
7737.28,21498346,8.953805484,16.88348656
9710.34,24217984,9.180946576,17.00260606
11757,26638954,9.372204087,17.09788514
14755.1,30008902,9.599344065,17.21700463
