"G' (Pa)(W (rad/s)), created by Plot Digitizer, 2.6.11"
"Date: 8/6/24, 4:30:58 PM"


88
W (rad/s),G' (Pa)
0.123278,113.307,
0.152055,181.224,
0.201071,280.885,
0.247994,435.393,
0.327937,674.828,
0.404444,1013.77,
0.516456,1475.92,
0.615172,2287.90,
0.785545,3330.87,
1.00321,5162.86,
1.28105,7516.44,
1.63584,10942.9,
2.08856,14502.4,
2.40260,22481.9,
3.06768,30742.8,
4.19926,40738.8,
4.83042,61206.4,
7.34218,91922.4,
10.7740,110873,
15.8124,146910,
24.8774,177180,
37.7935,194529,
53.5570,227409,
75.8956,265845,
93.5380,265769,
128.001,291834,
169.165,320470,
248.208,363064,
339.676,411358,
516.113,496142,
706.196,511712,
1191.03,561738,
1809.68,677516,
2391.53,721051,
3388.50,767310,
4324.90,842642,
6346.74,1.04871e+06,
8388.24,1.18826e+06,
11086.4,1.34639e+06,
15171.9,1.52548e+06,
20764.0,1.78340e+06,
28417.3,2084926,
37559.9,2437549,
51414.8,3.23011e+06,
70369.2,3.89641e+06,
99725.3,4699937,
151517,5493795,
193460,7.51248e+06,
294010,10270484,
416730,13609255,
570510,19200360,
679379,25448122,
929885,31674432,
1.14671e+06,44693624,
1.41394e+06,59234044,
2003897,73723152,
2.55848e+06,97703272,
3.04638e+06,121631072,
3627523,156237552,
4.47218e+06,188492816,
6122484,265931504,
8.38046e+06,341529600,
9977575,399349216,
13654430,452469696,
16831142,496915360,
23850128,562987200,
29401976,658267456,
43137932,722757184,
63297696,844876800,
80777016,844596544,
103094024,898909888,
131569816,927208832,
167919824,986834752,
221886272,986460672,
293227488,1049847104,
374240128,1117359488,
445467520,1152644736,
609531200,1188818944,
863583680,1226070272,
1064440896,1304976896,
1456392960,1304420352,
1924350336,1263709952,
2455749376,1263290880,
3134221824,1344529152,
4288315904,1343955712,
5472799744,1386265344,
7231279616,1343000576,
10244734976,1342364288,
