"G''(Angular frequency), created by Plot Digitizer, 2.6.11",,,
"Date: 9/11/24, 6:12:25 AM",,,
,,,
,,,
128,,,
Angular frequency,G'',,
0.10541,2181.94,-2.249897771,7.687969668
0.114428,2531.89,-2.167809475,7.836721338
0.126814,2884.06,-2.065033833,7.966954303
0.140556,3165.45,-1.962149293,8.060050505
0.159008,3673.5,-1.838800764,8.208900165
0.183622,4343.22,-1.694875982,8.376371287
0.195282,4855.83,-1.633310611,8.487935324
0.225537,5531.79,-1.489271054,8.618266731
0.260464,6419.97,-1.345290623,8.767168724
0.320026,7314.77,-1.139353036,8.897650871
0.37727,8648.75,-0.974794167,9.065170081
0.418129,9670.49,-0.871965282,9.176834259
0.482936,10814,-0.727871139,9.28859687
0.557756,12319.4,-0.583833688,9.418930535
0.631048,13775.4,-0.46037335,9.530639672
0.671119,15401.3,-0.39880881,9.6422072
0.75935,16904.8,-0.275292475,9.735352884
0.824495,18211.8,-0.192984201,9.809825015
0.93289,19989.7,-0.069467984,9.90297242
1.05542,22771.2,0.053938792,10.03325186
1.21893,25941.1,0.197973425,10.16358386
1.4077,30106.2,0.341957167,10.31248641
1.62589,33666.2,0.486055358,10.42424965
2.03899,40558,0.712454587,10.61048833
2.25994,44515.1,,
2.61007,50711.9,,
3.14108,59963.2,,
3.62853,63420.5,,
4.36699,73610.5,,
5.04412,80800.5,,
6.07136,90364,,
7.01393,93815.8,,
8.79797,104930,,
10.1621,115179,,
12.2344,119591,,
15.6705,121905,,
20.0707,126594,,
24.1661,126651,,
28.5014,129076,,
34.3095,139091,,
39.6404,139139,,
58.6564,147250,,
78.2915,152928,,
96.2267,155872,,
113.477,164867,,
154.603,177712,,
193.971,184538,,
269.794,195265,,
318.123,214348,,
375.152,226719,,
480.358,258344,,
554.902,273239,,
654.377,289008,,
787.684,317268,,
948.148,348292,,
1118.12,368392,,
1318.56,389652,,
1554.59,443917,,
1833.27,469535,,
2161.08,565569,,
2445.6,587144,,
2767.27,632604,,
3067.31,681551,,
3543.31,720847,,
4178.27,776737,,
4631.3,836836,,
5929.75,971439,,
7437.2,1.13E+06,,
8768.49,1284676,,
10773,1.49E+06,,
14670.1,1.90E+06,,
20397.8,2.25E+06,,
25577.6,2.81E+06,,
31426.5,3.20E+06,,
45527.3,4078694,,
57098,4823244,,
57098,4823244,,
63285.3,5293826,,
71605.4,5.81E+06,,
89798.8,7000101,,
105867,8124432,,
135541,9607996,,
159777,11573116,,
217611,13945033,,
267314,17113736,,
342240,20238794,,
411845,24379444,,
549344,31639454,,
674852,38114464,,
795609,44236272,,
937819,54282572,,
1.13E+06,64185244,,
1.13E+06,64185244,,
1.36E+06,75894440,,
1.81E+06,94904400,,
2.37E+06,110175088,,
2909153,135209952,,
3.65E+06,154062864,,
4.87E+06,182213744,,
5.74E+06,203770368,,
7199965,232182944,,
8667196,250197552,,
11565948,279880736,,
14213926,296062240,,
17111432,313163648,,
23312972,337562464,,
31118646,344129600,,
36701232,350719488,,
44190128,350877056,,
58985908,357703264,,
75556944,357917600,,
90979392,351490624,,
116570752,320517568,,
158853664,320757664,,
183596880,287039936,,
235162096,292594976,,
333942656,298332000,,
427829024,282336320,,
548111104,267198288,,
687870144,252859280,,
687870144,252859280,,
918489152,230600560,,
1201115392,226504992,,
1815363200,199095072,,
2423856896,184972160,,
3663412224,162588224,,
5313045504,142898768,,
7392374272,135263968,,
