"G' (Pa)(W (rad/s)), created by Plot Digitizer, 2.6.11"
"Date: 8/6/24, 4:50:49 PM"


79
W (rad/s),G' (Pa)
0.114159,910.030,
0.131185,1209.23,
0.167348,1881.82,
0.213660,2275.41,
0.254270,3023.80,
0.324501,4147.90,
0.386095,5871.10,
0.492789,7803.63,
0.628899,10704.6,
0.860787,14686.9,
1.06042,22144.2,
1.40211,26778.4,
1.78995,33416.8,
2.45072,41708.8,
3.47455,53731.8,
4.59460,62958.9,
6.51615,73784.5,
9.24231,83786.8,
11.3992,89294.0,
16.7369,115045,
23.7366,134827,
36.1079,153133,
51.2144,173892,
75.2359,191352,
103.021,231418,
151.277,288898,
230.073,349490,
326.259,422709,
446.652,544507,
633.316,679687,
898.181,796558,
1187.71,933346,
1570.75,1.05967e+06,
1936.90,1.20285e+06,
2473.45,1.36552e+06,
2843.26,1.65065e+06,
3385.11,1933549,
4322.85,2.19503e+06,
6129.44,2.73997e+06,
7046.60,3209255,
8688.27,3.75964e+06,
11090.4,4.84200e+06,
13205.3,5.49575e+06,
16280.0,6644573,
20792.1,7.30893e+06,
25638.9,8.29654e+06,
32737.8,9720325,
35096.2,11029548,
40343.4,13332598,
57215.7,15625115,
68126.8,17734750,
86952.9,23572316,
103535,26754948,
152000,35575244,
215500,45830180,
265677,55410476,
363793,67012700,
498037,86321536,
635665,114735120,
840575,134437840,
1.11107e+06,178706512,
1.46891e+06,223029536,
2314324,245470272,
2.95606e+06,261629792,
4191454,326582176,
5.74181e+06,348148096,
7.59434e+06,382994368,
10046696,395570496,
13285310,463499264,
16965588,526179808,
23245868,526634016,
27678856,597737856,
40661300,657754752,
50166296,637698496,
68736736,638248960,
90923456,680330688,
108297112,702468160,
138341568,725465088,
164775872,749071232,
