"Ratios( Molecular Weight (kDa)), created by Plot Digitizer, 2.6.11",
"Date: 8/27/24, 9:33:00 PM",
,
,
3,
 Molecular Weight (kDa),Ratios
54.6,0.8558
98.5,0.71498
201.8,0.438352
,
,
Mass fraction,Viscosity fraction
0.2,0.8558
0.2,0.71498
0.2,0.438352
